,trend
1990-01-01,0.24835707650561634
1991-01-01,3.779224925920024
1992-01-01,7.703069194970371
1993-01-01,12.064584123174384
1994-01-01,15.547507435812715
1995-01-01,19.030438957338124
1996-01-01,23.420045365091823
1997-01-01,27.403762729668273
1998-01-01,30.7690255367008
1999-01-01,34.64030555849378
2000-01-01,38.00859671208755
2001-01-01,41.375731835302425
2002-01-01,45.09671297108544
2003-01-01,47.74007284875654
2004-01-01,50.47761393250002
2005-01-01,53.796470167879534
2006-01-01,56.89005460771233
2007-01-01,60.64717827400997
2008-01-01,63.793166236249355
2009-01-01,66.68701438558172
2010-01-01,71.01983877004248
2011-01-01,74.50695061979923
2012-01-01,78.14071472214319
2013-01-01,81.02834062903645
2014-01-01,84.35614926677387
2015-01-01,88.0116105616288
2016-01-01,91.03611377291764
2017-01-01,94.82396278209048
2018-01-01,98.12364343713108
2019-01-01,101.57779656223444
2020-01-01,104.87694325611974
2021-01-01,109.40308234837421
2022-01-01,112.99633373600524
2023-01-01,116.06747827152729
